kd_desa,kd_kecamatan,kd_kabupaten,ditetapkan_oleh,sk_lembaga,pembina_status_ada,pembina_ditetapkan_oleh,pembina_sk_penetapan,created_by,updated_by,created_at,updated_at
3502010004,3502010,3502,Kepala Desa,188.4/76/405.30.02.05/2020,ada,Kepala Desa,188.4/76/405.30.02.05/2020,3502010004,3502010004,2021-03-30 03:09:38,2021-03-30 03:09:38
3502010009,3502010,3502,KEPALA DESA,188/17/405.30.13.08/2019,ada,KEPALA DESA,188/17/405.30.13.08/2019,3502010009,3502010009,2020-10-14 15:41:29,2020-10-14 15:41:29
3502020004,3502020,3502,Kepala Desa,No 18 Tahun 2019,tidak,,,3502020004,3502020004,2020-11-13 17:15:24,2020-11-13 17:15:24
3502020013,3502020,3502,Kepala Desa,Nomor 18 Tahun 2019,ada,,,3502020013,3502020013,2020-11-26 22:36:17,2020-11-26 22:36:17
3502020017,3502020,3502,KEPALA DESA,12 TAHUN 2018,ada,KEPALA DESA,14 TAHUN 2018,3502020017,3502020017,2021-05-21 01:57:33,2021-05-21 01:57:33
3502030007,3502030,3502,KEPALA DESA PAGER,188/07/405.30.12/07/2019,ada,KEPALA DESA PAGER,188/08/405.30.12/07/2019,3502030007,3502030007,2020-10-08 04:47:53,2020-10-08 04:47:53
3502040004,3502040,3502,Kepela Desa,141/06/405.30.14.2004/2019,ada,Kepela Desa,141/07/405.30.14.2004/2019,3502040004,3502040004,2021-03-24 03:02:22,2021-03-24 03:02:22
3502040006,3502040,3502,Kepala Desa,No. 24  Tahun 2020,ada,Kepala Desa,,3502040006,3502040006,2021-01-06 06:02:28,2021-01-06 06:02:28
3502050001,3502050,3502,Kepala Desa,18 Tahun 2020,ada,Kepala Desa,18 Yahun 2020,3502050001,3502050001,2021-07-08 08:44:38,2021-07-08 15:15:33
3502050002,3502050,3502,Kepala Desa,20 Tahun 2019,ada,Kepala Desa,20 Tahun 2019,3502050002,3502050002,2021-07-08 09:39:02,2021-07-08 09:39:02
3502050004,3502050,3502,Kepala Desa Tempuran,,ada,,,3502050004,3502050004,2021-03-25 07:08:34,2021-03-25 07:08:34
3502050005,3502050,3502,Kepala Desa,09 Tahubn 2019,ada,Kepala Desa,,3502050005,3502050005,2021-07-13 02:42:38,2021-07-13 02:42:38
3502050007,3502050,3502,Kepala Desa,312/14/405.30.05.07/2021,ada,Kepala Desa,312/15/405.30.05.07/2021,3502050007,3502050007,2021-07-09 12:25:05,2021-07-09 12:25:05
3502050009,3502050,3502,KEPALA DESA,21 TAHUN 2020,ada,,,3502050009,3502050009,2021-07-16 02:04:10,2021-07-16 02:04:10
3502050013,3502050,3502,KEPALA DESA,NOMOR 10 TAHUN 2020,ada,KEPALA DESA,,3502050013,3502050013,2021-07-08 14:08:39,2021-07-08 14:08:39
3502060003,3502060,3502,"NURGIANTO,SH",11 TAHUN2014,ada,"NURGIANTO,SH",11 TAHUN 2014,3502060003,3502060003,2020-10-12 06:20:41,2020-10-12 06:20:41
3502061001,3502061,3502,Kepala desa,12,ada,Kepala Desa,11,3502061001,3502061001,2020-10-22 05:45:08,2020-10-22 05:45:08
3502061005,3502061,3502,Kepala Desa,188/12/405. 30.21.02/2020,ada,Kepala Desa,188/12/405. 30.21.02/2020,3502061005,3502061005,2020-10-20 08:43:52,2020-10-20 08:43:52
3502070016,3502070,3502,KEPALA DESA MUNGGUNG,144.4/13/405.30.17.16/2021,ada,KEPALA DESA MUNGGUNG,,3502070016,3502070016,2020-09-17 10:34:23,2021-07-15 04:02:14
3502080003,3502080,3502,KEPALA DESA,,ada,,,3502080003,3502080003,2021-07-14 03:53:24,2021-07-14 03:53:24
3502080007,3502080,3502,KEPALA DESA,188.4/22/405.30.16.7/2016,ada,KEPALA DESA,188.4/22/405.30.16.7/2016,3502080007,3502080007,2021-07-12 04:25:29,2021-07-12 04:25:29
3502080009,3502080,3502,KEPALA DESA,,ada,,,3502080009,3502080009,2021-05-24 17:04:45,2021-05-24 17:04:45
3502090014,3502090,3502,KEPALA DESA,11 TAHUN 2019,ada,-,-,3502090014,3502090014,2020-11-25 13:06:05,2020-11-25 13:06:05
3502090016,3502090,3502,Kepala Desa,188/04/405.32.4.17/2018,ada,KEPALA DESA,,3502090016,3502090016,2021-03-01 03:36:00,2021-03-01 03:36:00
3502100001,3502100,3502,KEPALA DESA,188.45/28/405.30.09.01/2020,ada,KEPALA DESA,188.45/28/405.30.09.01/2020,3502100001,3502100001,2021-03-20 13:58:25,2021-03-20 13:58:25
3502100002,3502100,3502,KEPALA DESA,,ada,,,3502100002,3502100002,2021-07-12 03:46:59,2021-07-12 03:46:59
3502100003,3502100,3502,kepala desa,,ada,kepala desa,,3502100003,3502100003,2021-03-15 02:33:37,2021-03-15 02:33:37
3502100005,3502100,3502,KEPALA DESA,188.4/    /405.30.09.05/2021,ada,,,3502100005,3502100005,2021-04-14 02:22:43,2021-04-14 02:22:43
3502100010,3502100,3502,KEPALA DESA,188.4/12/405.30.17.10/2019,tidak,,,3502100010,3502100010,2020-10-22 02:04:56,2020-10-22 02:04:56
3502110003,3502110,3502,Kepala Desa,,ada,,,3502110003,3502110003,2021-02-08 02:26:33,2021-02-08 02:26:33
3502110010,3502110,3502,KEPALA DESA,,ada,KEPALA DESA,,3502110010,3502110010,2021-01-11 04:11:53,2021-01-11 04:11:53
3502110018,3502110,3502,Kepala Desa,nomor 04 tahun 2019,ada,Kepala Desa,nomor 05 tahun 2019,3502110018,3502110018,2021-03-03 04:32:49,2021-03-03 04:32:49
3502120003,3502120,3502,KEPALA DESA,,ada,CAMAT,,3502120003,3502120003,2021-07-14 07:29:05,2021-07-14 07:29:05
3502120005,3502120,3502,Kepala Desa,Nomor 19 Tahun 2020,ada,,,3502120005,3502120005,2020-12-08 04:12:48,2020-12-08 04:12:48
3502120011,3502120,3502,KEPUTUSAN KEPALA DESA TOSANAN,140/07/35.02.12.2011/2020,tidak,,,3502120011,3502120011,2020-12-23 15:28:41,2020-12-23 15:28:41
3502120016,3502120,3502,Kepala Desa,,ada,,,3502120016,3502120016,2020-11-19 03:26:30,2020-11-19 03:26:30
3502130003,3502130,3502,Kepala Desa Poko,17 Tahun 2018,ada,Kepala Desa Poko,16 Tahun 2018,3502130003,3502130003,2021-07-13 00:11:00,2021-07-13 00:11:00
