kd_desa,id_lembaga,kd_kecamatan,kd_kabupaten,nama,jenis_adat,status_legalitas,jenis_legalitas,no_legalitas,deskripsi,kategori,created_by,updated_by,created_at,updated_at
3502010005,1,3502010,3502,TIDAK ADA,,tidak,,,,MANDIRI,3502010005,3502010005,2020-12-17 12:51:37,2020-12-17 12:51:37
3502010005,2,3502010,3502,TIDAK ADA,-,tidak,-,-,-,EMBRIO,3502010005,3502010005,2020-12-17 12:52:14,2020-12-17 12:52:14
3502010005,3,3502010,3502,TIDAK ADA,-,tidak,-,-,-,BERKEMBANG,3502010005,3502010005,2020-12-17 12:52:51,2020-12-17 12:52:51
3502020001,1,3502020,3502,SEKAR ARUM DALU,KIRAB BUDAYA  DAN TRADISI,ada,PERATURAN DESA,06 TAHUN 2017,"MELESTARIKAN ADAT,BUDAYA DAN TRADISI WARISAN LELUHUR",BERKEMBANG,3502020001,3502020001,2021-05-19 02:24:37,2021-05-19 02:24:37
3502040006,1,3502040,3502,0,0,tidak,0,0,0,EMBRIO,3502040006,3502040006,2021-01-06 06:18:47,2021-05-19 03:10:23
3502050009,1,3502050,3502,RUKUN AGAWE SANTOSO,SOSIAL KEMASARAKATAN,ada,KESEPAKATAN,,,MANDIRI,3502050009,3502050009,2021-07-09 03:51:50,2021-07-09 03:51:50
3502050009,2,3502050,3502,PTT,SOSIAL KEMASYARAATAN,ada,KESEPAKATAN,,,MANDIRI,3502050009,3502050009,2021-07-09 03:53:05,2021-07-09 03:53:05
3502050009,3,3502050,3502,NGUDI RUKUN,SOSIAL KEMASYARAKATAN,ada,KESEPAKATAN,,,MANDIRI,3502050009,3502050009,2021-07-09 03:54:41,2021-07-09 03:54:41
3502061001,1,3502061,3502,0,0,tidak,0,0,-,EMBRIO,3502061001,3502061001,2020-10-22 05:46:09,2020-10-22 05:46:09
3502100002,1,3502100,3502,SURYO GUMELAR,KESENIAN,ada,,,KESENIAN REOG,BERKEMBANG,3502100002,3502100002,2021-07-16 03:32:28,2021-07-16 03:33:48
3502100002,2,3502100,3502,KENCONO MUDO,KESENIAN,ada,,,KESENIAN GAJAH-GAJAHAN,BERKEMBANG,3502100002,3502100002,2021-07-16 03:33:34,2021-07-16 03:33:34
3502130009,1,3502130,3502,KEG.BERSIH DESA,,ada,,,,EMBRIO,3502130009,3502130009,2021-07-08 07:03:40,2021-07-08 07:03:40
3502130012,1,3502130,3502,UPKU GIRI MULYO,,tidak,,,,EMBRIO,3502130012,3502130012,2021-04-07 07:15:59,2021-05-18 07:13:54
3502160011,1,3502160,3502,tidak punya,,tidak,,,,EMBRIO,3502160011,3502160011,2020-11-09 00:23:49,2020-11-09 00:23:49
