kd_desa,kd_kecamatan,kd_kabupaten,ditetapkan_oleh,sk_lembaga,pembina_status_ada,pembina_ditetapkan_oleh,pembina_sk_penetapan,created_by,updated_by,created_at,updated_at
3502010003,3502010,3502,Kepala Desa,,ada,Kepala Desa,,3502010003,3502010003,2021-07-17 22:01:08,2021-07-17 22:01:08
3502010004,3502010,3502,Kepala Desa,188/23/405.32.13.06/2019,ada,Kepala Desa,188/23/405.32.13.06/2019,3502010004,3502010004,2021-03-30 03:19:21,2021-03-30 03:19:21
3502010005,3502010,3502,KEPALA DESA,188.45/11/405.30.23.04/2018,ada,KEPALA DESA,188.45/12/405.30.23.04/2018,3502010005,3502010005,2020-12-17 13:17:17,2020-12-17 13:17:17
3502010009,3502010,3502,KEPALA DESA,188/16/405.30.13.08/2019,ada,KEPALA DESA,188/16/405.30.13.08/2019,3502010009,3502010009,2020-10-14 02:20:38,2020-10-14 02:20:38
3502020001,3502020,3502,Kepala Desa,,tidak,,,3502020001,3502020001,2021-05-19 04:01:53,2021-05-19 04:01:53
3502020004,3502020,3502,Kepala Desa,05 Tahun 2020,tidak,,,3502020004,3502020004,2020-11-13 17:19:38,2020-11-13 17:19:38
3502020005,3502020,3502,,,ada,,,3502020005,3502020005,2020-11-12 04:08:57,2020-11-12 04:08:57
3502020010,3502020,3502,KEPALA DESA,NOMOR 01 TAHUN 2018,tidak,-,-,3502020010,3502020010,2020-11-20 01:10:14,2020-11-20 01:10:14
3502020011,3502020,3502,Kepala Desa,,tidak,,,3502020011,3502020011,2021-02-03 09:05:03,2021-02-03 09:05:03
3502020013,3502020,3502,Kepala Desa,Nomor 14 Tahun 2020,ada,,,3502020013,3502020013,2020-11-25 11:05:02,2020-12-16 07:21:14
3502020017,3502020,3502,KEPALA DESA CRABAK,00000000000000000000,ada,KEPALA DESA CRABAK,00000000000000000000,3502020017,3502020017,2020-12-23 04:03:34,2020-12-23 04:03:34
3502020019,3502020,3502,Kepala Desa,141/15/405.30.01.19/2020,tidak,,,3502020019,3502020019,2021-07-13 04:10:53,2021-07-13 04:10:53
3502030007,3502030,3502,KEPALA DESA PAGER,188/03/405.30.12/07/2019,ada,KEPALA DESA PAGER,188/04/405.30.12/07/2019,3502030007,3502030007,2020-10-08 04:45:19,2020-10-08 04:45:19
3502040004,3502040,3502,Kepala Desa,188/ 05 / 405.30.04.04/ 2018,tidak,,,3502040004,3502040004,2021-03-23 23:25:45,2021-03-23 23:25:45
3502040006,3502040,3502,,No  10  Tahun 1915,ada,,,3502040006,3502040006,2021-01-06 04:45:48,2021-01-06 04:45:48
3502050001,3502050,3502,Kepala Desa,8 Tahun 2019,ada,8 Tahun 2019,Kepala Desa,3502050001,3502050001,2021-07-08 08:45:12,2021-07-08 13:36:15
3502050002,3502050,3502,Kepala Desa,11 Tahun 2019,tidak,,,3502050002,3502050002,2021-07-09 00:32:33,2021-07-09 00:32:33
3502050004,3502050,3502,Kepala Desa Tempuran,188.45/13/405.15.04/2019,ada,Kepala Desa Tempuran,188.45/13/405.15.04/2019,3502050004,3502050004,2021-03-26 09:37:37,2021-03-26 09:37:37
3502050005,3502050,3502,Kepala Desa,08 Tahun 2019,ada,Kepala Desa,,3502050005,3502050005,2021-07-13 02:43:06,2021-07-13 02:43:06
3502050007,3502050,3502,KEPALA DESA,312/06/405.30.05.07/2021,ada,KEPALA DESA,312/07/405.30.05.07/2021,3502050007,3502050007,2021-07-09 12:10:07,2021-07-09 12:10:07
3502050009,3502050,3502,KEPALA DESA,20 TAHUN 2020,tidak,,,3502050009,3502050009,2021-07-09 03:40:18,2021-07-09 03:40:18
3502050013,3502050,3502,KEPALA DESA,5 TAHUN 2020,ada,CAMAT,,3502050013,3502050013,2020-12-17 02:06:27,2021-07-09 03:32:23
3502060001,3502060,3502,KEPALA DESA,NOMOR 03 TAHUN 2015,ada,KEPALA DESA,188.45/1877/405.14/2019,3502060001,3502060001,2020-10-15 01:44:52,2020-10-15 01:44:52
3502060003,3502060,3502,"NURGIANTO,SH",09 TAHUN 2018,ada,"NURGIANTO,SH",09 TAHUN 2018,3502060003,3502060003,2020-10-12 06:44:10,2020-10-12 06:44:10
