kd_desa,kd_kecamatan,kd_kabupaten,ditetapkan_oleh,sk_lembaga,pembina_status_ada,pembina_ditetapkan_oleh,pembina_sk_penetapan,created_by,updated_by,created_at,updated_at
3502010004,3502010,3502,Kepala Desa,188.45/13/405.32.13.06/2019,tidak,,,3502010004,3502010004,2021-02-26 03:13:35,2021-02-26 03:13:35
3502010005,3502010,3502,KEPALA DESA,180.45/09/405.13.03.04/2018,ada,Kepala Desa,180.45/10/405.13.03.04/2018,3502010005,3502010005,2020-12-17 08:35:57,2020-12-17 08:35:57
3502010009,3502010,3502,KEPALA DESA,188/40/405.32.13.08/2018,ada,KEPALA DESA,188/40/405.32.13.08/2018,3502010009,3502010009,2020-10-14 02:03:30,2020-10-14 02:11:11
3502020001,3502020,3502,Kepala Desa,25 Tahun 2017,ada,,,3502020001,3502020001,2021-05-19 01:42:35,2021-05-19 01:42:35
3502020002,3502020,3502,KEPALA DESA,022/405.30.01.02/2019,ada,KEPALA DESA,022/405.30.01/2019,3502020002,3502020002,2020-11-12 04:27:49,2020-11-12 04:30:24
3502020004,3502020,3502,KEPALA DESA,,tidak,,,3502020004,3502020004,2020-11-13 17:02:07,2020-11-13 17:03:27
3502020005,3502020,3502,KEPALA DESA,,ada,,,3502020005,3502020005,2020-11-12 04:07:57,2020-11-12 04:07:57
3502020010,3502020,3502,KEPALA DESA,17 TAHUN 2019,ada,KEPALA DESA,18 TAHUN 2019,3502020010,3502020010,2020-11-17 05:10:31,2020-11-17 05:10:31
3502020011,3502020,3502,kepala Desa,nomor 8 tahun 2019,ada,,,3502020011,3502020011,2020-12-14 04:56:45,2020-12-14 04:56:45
3502020012,3502020,3502,KEPALA DESA PLANCUNGAN,03 TAHUN 2021,ada,,,3502020012,3502020012,2021-03-18 04:11:16,2021-03-18 04:11:16
3502020013,3502020,3502,Kepala Desa,19 Tahun 2018,ada,Kepala Desa,188.45/1911/405.14/2019,3502020013,3502020013,2020-11-26 00:20:33,2020-11-26 00:20:33
3502020017,3502020,3502,KEPALA DESA CRABAK,0000000000000000000000,ada,KEPALA DESA CRABAK,0000000000000000000000,3502020017,3502020017,2020-12-23 04:02:47,2020-12-23 04:02:47
3502030001,3502030,3502,KEPALA DESA,15,ada,,,3502030001,3502030001,2021-03-22 03:47:53,2021-03-22 03:47:53
3502030007,3502030,3502,KEPALA DESA PAGER,188/05/405.30.12/07/2019,ada,KEPALA DESA PAGER,188/06/405.30.12/07/2019,3502030007,3502030007,2020-10-08 04:46:43,2020-10-08 04:46:43
3502030009,3502030,3502,KEPALA DESA,,ada,KEPALA DESA,,3502030009,3502030009,2021-07-09 15:10:06,2021-07-09 15:10:06
3502040006,3502040,3502,Kepala Desa,No 17  Tahun 2019,ada,Kepala Desa,,3502040006,3502040006,2021-01-05 06:07:35,2021-01-05 06:07:35
3502050001,3502050,3502,Kepala Desa,6 Tahun 2019,ada,Kepala Desa,6 Tahun 2019,3502050001,3502050001,2021-07-08 08:46:21,2021-07-08 12:54:31
3502050002,3502050,3502,Kepala Desa,08 Tahun 2018,ada,Kepala Desa,08 Tahun 2018,3502050002,3502050002,2021-07-08 09:31:23,2021-07-09 00:23:03
3502050003,3502050,3502,KEPALA DESA ,188/18/30.05.03/2019,ada,KEPALA DESA,,3502050003,3502050003,2021-07-09 03:57:03,2021-07-09 03:57:03
3502050004,3502050,3502,Kepala Desa Tempuran,,ada,,,3502050004,3502050004,2021-03-25 07:06:45,2021-03-25 07:06:45
3502050005,3502050,3502,Kepala Desa,10 Tahun 2019,ada,,,3502050005,3502050005,2021-07-13 02:25:40,2021-07-13 02:25:40
3502050009,3502050,3502,KEPALA DESA,19 TAHUN 2020,ada,KEPALA DESA,0,3502050009,3502050009,2021-07-09 03:37:48,2021-07-14 04:10:02
3502050013,3502050,3502,KEPALA DESA,12 TAHUN 2019,ada,CAMAT,,3502050013,3502050013,2020-12-17 02:04:45,2020-12-17 02:04:45
3502060001,3502060,3502,KEPALA DESA,NOMOR 6 TAHUN 2018,ada,KEPALA DESA,188.45/1877/405.14/2019,3502060001,3502060001,2020-10-15 01:40:59,2020-10-15 01:40:59
3502060003,3502060,3502,"NURGIANTO, SH",04 TAHUN 2014,ada,"NURGIANTO,SH",04 TAHUN 2014,3502060003,3502060003,2020-10-12 05:54:45,2020-10-12 05:54:45
3502060006,3502060,3502,Kepala Desa,09 tahun 2019,ada,Kepala Desa,09 tahun 2019,3502060006,3502060006,2020-11-24 05:23:14,2020-11-24 05:23:14
3502061001,3502061,3502,Kepala Desa,02,ada,Kepala Desa,01,3502061001,3502061001,2020-10-22 05:27:09,2020-10-22 05:27:09
3502061002,3502061,3502,HADI SUPARNUN,188/13/405.30.21.04/2020,ada,,,3502061002,3502061002,2021-03-07 14:29:31,2021-03-07 14:29:31
3502061004,3502061,3502,ERWAN SANTOSO,,ada,,,3502061004,3502061004,2020-10-20 03:45:53,2020-10-20 03:45:53
3502061005,3502061,3502,Tim Penggerak PKK kecamatan Pudak,00,ada,Camat Pudak,00,3502061005,3502061005,2020-10-20 06:16:22,2020-10-20 06:16:22
3502070016,3502070,3502,KEPALA DESA,144.4/14/405.30.17.16/2021,ada,NY.KEPALA DESA,,3502070016,3502070016,2021-07-15 03:59:35,2021-07-15 03:59:35
3502080005,3502080,3502,KEPALA DESA,188.4/13/405.30.08.05/2019,ada,KEPALA DESA,,3502080005,3502080005,2021-07-13 12:58:46,2021-07-13 12:58:46
3502080009,3502080,3502,MENTERI DALAM NEGERI,NO 28 TAHUN 1984,ada,KEPALA DESA,,3502080009,3502080009,2021-05-24 16:32:53,2021-05-24 16:32:53
3502080011,3502080,3502,Kepala Desa,150/03/405.30.08.11/2000,ada,Kepala Desa ,,3502080011,3502080011,2021-07-12 03:59:14,2021-07-12 03:59:14
3502080015,3502080,3502,KEPALA DESA KAPONAN,188.4/08/405.30.08.15/2021,ada,KEPALA DESA KAPONAN,188.4/08/405.30.08.15/2021,3502080015,3502080015,2021-07-12 05:30:18,2021-07-16 02:16:34
3502090014,3502090,3502,...,14 Tahun 2019,ada,..,2019,3502090014,3502090014,2020-11-12 23:34:22,2020-11-12 23:34:22
3502090015,3502090,3502,KEPALA DESA ,,ada,,,3502090015,3502090015,2020-12-23 04:38:26,2020-12-23 04:38:26
3502090016,3502090,3502,TIM PENGGERAK PKK KEC.SIMAN,NOMOR 23 TAHUN 2018,ada,PEMBINA KECAMATAN,,3502090016,3502090016,2020-10-23 03:51:39,2020-10-23 03:51:39
3502100001,3502100,3502,KEPALA DESA,11,ada,CAMAT,,3502100001,3502100001,2020-12-17 03:16:01,2020-12-17 03:16:01
3502100002,3502100,3502,KEPALA DESA,188.4/24/405.32.17/2018,ada,,,3502100002,3502100002,2021-07-09 02:50:43,2021-07-12 03:39:57
3502100003,3502100,3502,KEPALA DESA,188.4/13/405.32.17.07/2019,tidak,kepala desa,,3502100003,3502100003,2020-10-23 03:51:26,2021-03-15 01:28:14
3502100004,3502100,3502,KEPALA DESA,188.45/32/405.30.09.04/2020,ada,,,3502100004,3502100004,2021-06-24 04:49:59,2021-06-24 04:49:59
3502100005,3502100,3502,KEPALA DESA,188.4/06/405.30.09.05/2021,tidak,,,3502100005,3502100005,2021-04-13 04:03:57,2021-04-13 04:03:57
3502100010,3502100,3502,KEPALA DESA,188.4/33/405.32.17.9/2019,ada,,,3502100010,3502100010,2020-10-09 02:45:34,2020-10-09 02:45:34
3502110002,3502110,3502,Kepala Desa,,tidak,,,3502110002,3502110002,2021-06-07 02:55:25,2021-06-07 02:55:25
3502110003,3502110,3502,kepala Desa,,ada,,,3502110003,3502110003,2021-02-08 02:26:02,2021-02-08 02:26:02
3502110005,3502110,3502,,,ada,,,3502110005,3502110005,2021-04-07 13:08:38,2021-04-07 13:08:38
3502110010,3502110,3502,KEPALA DESA,147/0020/405.30.10/10/2019,ada,KEPALA DESA,,3502110010,3502110010,2021-01-11 03:28:26,2021-01-11 03:28:26
3502110014,3502110,3502,Kepala Desa,27 Tahun 2019,ada,Kepala Desa,27 Tahun 2019,3502110014,3502110014,2021-07-09 03:50:54,2021-07-09 03:50:54
3502110016,3502110,3502,KEPALA DESA,488/98/405.30.10.16/2019,ada,CAMAT BALONG,488/98/405.30.10.16/2019,3502110016,3502110016,2021-03-26 03:48:52,2021-03-26 03:48:52
3502110018,3502110,3502,Kepala Desa,Nomor 20 tahun 2021,ada,Kepala Desa,,3502110018,3502110018,2021-03-03 04:41:26,2021-03-03 04:44:02
3502110020,3502110,3502,KEPALA DESA,,ada,CAMAT,,3502110020,3502110020,2020-10-27 03:00:19,2020-10-27 03:00:19
3502120003,3502120,3502,KEPALA DESA,,ada,CAMAT,,3502120003,3502120003,2021-07-14 07:21:57,2021-07-14 07:21:57
3502120005,3502120,3502,Kepala Desa,Nomor 10 Tahun 2019,ada,,,3502120005,3502120005,2020-12-08 04:24:20,2020-12-08 04:24:20
3502120009,3502120,3502,KEPALA DESA,141/11/405.32.12.09/2020,ada,KEPALA DESA,141/10/405.32.12.09/2020,3502120009,3502120009,2020-10-26 02:06:04,2020-10-27 01:25:47
3502120011,3502120,3502,KEPUTUSAN KEPALA DESA TOSANAN,140/05/35.02.12.2011/2020,tidak,,,3502120011,3502120011,2020-12-23 14:36:05,2020-12-23 14:36:05
3502130003,3502130,3502,KEPALA DESA,25 TAHUN 2019,ada,KEPALA DESA,24 TAHUN 2019,3502130003,3502130003,2019-10-31 02:16:27,2019-10-31 02:16:27
3502130004,3502130,3502,Kepala Desa ,141/03/405.30.20.04/2019,ada,Kepala Desa,141/03/405.30.20.04/2019,3502130004,3502130004,2020-11-27 14:05:15,2020-11-27 14:05:15
3502130009,3502130,3502,KEPALA DESA,03,ada,DESA,EMBOH,3502130009,3502130009,2021-07-08 06:52:50,2021-07-08 06:52:50
3502130013,3502130,3502,KEPALA DESA,410.4/12/405.32.9.13/2019,ada,BUPATI,188.45/3067/405.20/2016,3502130013,3502130013,2021-02-06 07:54:11,2021-02-06 07:54:11
3502140001,3502140,3502,KEPALA DESA,140/20/405.32.08.04/2019,ada,,,3502140001,3502140001,2020-09-16 11:14:27,2020-10-12 04:43:36
3502140002,3502140,3502,,140,ada,,,3502140002,3502140002,2020-03-17 07:35:33,2020-03-17 07:35:33
3502140003,3502140,3502,KEPALA DESA,,ada,,,3502140003,3502140003,2020-10-16 03:41:56,2020-10-16 03:41:56
3502140004,3502140,3502,Kepala Desa,140/14.2/405.32.8.07/2019,ada,Kepala Desa,140/14.1/405.32.8.07/2019,3502140004,3502140004,2020-11-10 02:50:32,2020-11-10 02:50:32
3502140006,3502140,3502,KEPALA DESA,02 TAHUN 2019,ada,KEPALA DESA,03 TAHUN 2019,3502140006,3502140006,2020-10-14 01:48:47,2020-10-14 01:48:47
3502140008,3502140,3502,KEPALA DESA,199/30/405.30.13.10/2019,ada,SK BUPATI,188.45/1877/405.14/2019,3502140008,3502140008,2021-03-29 06:12:31,2021-03-29 06:22:11
3502140009,3502140,3502,KEPALA DESA,141/15/405.32.08.09/2019,ada,KEPALA DESA,141/14/405.32.08.09/2019,3502140009,3502140009,2020-10-13 12:10:11,2020-10-13 23:01:54
3502150004,3502150,3502,KEPALA DESA,,ada,,,3502150004,3502150004,2020-11-12 03:07:22,2020-11-12 03:07:22
3502150006,3502150,3502,,,ada,,,3502150006,3502150006,2021-03-15 12:34:25,2021-03-15 12:35:34
3502150007,3502150,3502,Kepala Desa,22 Tahun 2019,ada,Kepala Desa,         ,3502150007,3502150007,2020-11-05 03:33:20,2020-11-05 03:52:00
3502160002,3502160,3502,KEPALA DESA,-,ada,KEPALA DESA,-,3502160002,3502160002,2021-07-12 16:56:38,2021-07-12 16:56:38
3502160003,3502160,3502,KEPALA DESA,140/22/405.30.15.16/2020,ada,,,3502160003,3502160003,2021-07-13 03:58:25,2021-07-13 03:58:25
3502160004,3502160,3502,KEPALA DESA,0,tidak,,0,3502160004,3502160004,2021-06-21 16:26:10,2021-06-21 16:26:10
3502160008,3502160,3502,KEPALA DESA,140/10/405.32.6.05/2018,ada,BUPATI,188/2044/405.20/2013,3502160008,3502160008,2021-07-16 02:47:19,2021-07-16 12:51:14
3502160009,3502160,3502,KEPALA DESA,,ada,CAMAT,,3502160009,3502160009,2021-07-14 07:21:49,2021-07-14 07:21:49
3502160011,3502160,3502,KEPALA DESA ,"188,45/12/405,32,6,13",ada,,,3502160011,3502160011,2020-11-04 04:04:28,2020-11-04 04:04:28
3502160017,3502160,3502,KEPALA DESA,188.45/13/405.30.15.07/2020,ada,CAMAT,188.45/   /405.30.15/2020,3502160017,3502160017,2021-03-18 07:56:00,2021-03-18 07:56:00
3502180002,3502180,3502,Kepada Desa,,ada,Kepala Desa,,3502180002,3502180002,2020-10-13 04:08:59,2020-10-13 04:08:59
3502180009,3502180,3502,KEPALA DESA,02,ada,BUPATI PONOROGO,,3502180009,3502180009,2021-02-25 03:57:53,2021-02-25 03:57:53
3502180010,3502180,3502,KEPALA DESA ,188.4/21/405.32.3/14/2019,ada,KEPALA DESA,188.4/21/405.32.3/14/2019,3502180010,3502180010,2020-11-02 02:59:20,2020-11-02 02:59:20
3502180012,3502180,3502,KEPALA DESA,,ada,KEPALA DESA,,3502180012,3502180012,2021-03-01 02:05:20,2021-03-01 02:05:20
3502180013,3502180,3502,Kepala Desa,188.4/07/405.30/16.13/2019,ada,Camat Babadan,,3502180013,3502180013,2021-02-03 02:35:23,2021-02-03 02:35:23
3502180014,3502180,3502,KEPALA DESA,188.4/21/405.32.3/13/2019,ada,KEPALA DESA,188.4/21/405.32.3/13/2019,3502180014,3502180014,2020-10-23 03:45:02,2020-10-23 03:45:02
3502180015,3502180,3502,KEPALA DESA TRISONO,0,ada,CAMAT BABADAN,0,3502180015,3502180015,2020-10-15 02:04:40,2020-10-15 02:04:40
3502190009,3502190,3502,KEPALA DESA,,ada,,,3502190009,3502190009,2020-11-25 04:52:10,2020-11-25 04:52:10
3502190016,3502190,3502,PAIJAH,,ada,,,3502190016,3502190016,2021-03-21 20:05:28,2021-03-21 20:05:28
3502200001,3502200,3502,Kepala Desa,188.45/33.A/405.32.19.01/2019,ada,Kepala Desa,188.45/33.B/405.32.19.01/2019,3502200001,3502200001,2021-03-26 14:27:31,2021-03-26 14:27:31
3502200005,3502200,3502,KEPALA DESA,25,ada,KEPALA DESA,26,3502200005,3502200005,2021-07-09 05:41:34,2021-07-09 05:41:34
3502200006,3502200,3502,KEPALA DESA,07 TAHUN 2017,tidak,,,3502200006,3502200006,2020-11-12 06:31:08,2020-11-12 06:31:08
3502200007,3502200,3502,KEPALA DESA,140/12/405.30.19.19/2020,ada,,,3502200007,3502200007,2020-11-30 02:42:02,2020-12-03 04:29:35
