kd_kabupaten,kd_kecamatan,kd_desa,no_rt,no_rw,dusun_lingkungan,no,nama,jenis,alamat,keterangan,created_by,updated_by,created_at,updated_at
3502,3502010,3502010001,2,1,Pojok Sejahtera,1,Posyandu Sehat Amanah,balita,Jl. KH,Ok,3502010001,3502010001,2018-10-09 07:40:33,2018-10-09 07:40:33
3502,3502010,3502010003,10,4,Krajan,1,Posyandu Balita Krajan,balita,Rt 11 Rw 04 Dukuh Krajan,,3502010003,3502010003,2021-07-17 21:50:48,2021-07-17 21:51:58
3502,3502010,3502010003,3,1,Pucung,2,Posyandu Balita Pucung,balita,Rt 03 Rw 01 Dukuh Pucung,,3502010003,3502010003,2021-07-17 21:51:38,2021-07-17 21:51:38
3502,3502010,3502010003,10,4,Krajan,3,Posyandu Lansia Krajan,balita,Rt 10 Rw 04 Dukuh Krajan,,3502010003,3502010003,2021-07-17 21:52:38,2021-07-17 21:52:38
3502,3502010,3502010003,3,1,Pucung,4,Posyandu Lansia Pucung,balita,Rt 03 Rw 01 Dukuh Pucung,,3502010003,3502010003,2021-07-17 21:53:21,2021-07-17 21:53:21
3502,3502010,3502010004,3,4,Krajan,1,posyandu balita Krajan,balita,Dukuh Krajan,,3502010004,3502010004,2021-03-30 02:56:53,2021-03-30 02:56:53
3502,3502010,3502010004,1,2,Dukuh Tempuran Desa Mrayan,2,posyandu balita Tempuran,balita,Tempuran,,3502010004,3502010004,2021-03-30 02:58:48,2021-03-30 02:58:48
3502,3502010,3502010004,1,2,Dukuh Pakel Desa Mrayan,3,Posyandu balita Pakel,balita,Pakel,,3502010004,3502010004,2021-03-30 03:00:09,2021-03-30 03:00:09
3502,3502010,3502010004,3,1,Dukuh Plandon Desa Mrayan,4,Posyandu balita Plandon I,balita,SOBO,,3502010004,3502010004,2021-03-30 03:01:29,2021-03-30 03:01:29
3502,3502010,3502010004,2,3,Dukuh Plandon Desa Mrayan,5,Posyandu balita Plandon II,balita,Dompyong,,3502010004,3502010004,2021-03-30 03:02:24,2021-03-30 03:02:24
3502,3502010,3502010004,1,4,Dukuh Krajan Desa Mrayan,6,Posyandu Lansia Krajan,balita,Krajan,,3502010004,3502010004,2021-03-30 03:03:53,2021-03-30 03:03:53
3502,3502010,3502010004,1,4,Dukuh Krajan Desa Mrayan,7,Posyandu Lansia PWRI Krajan,balita,Krajan,,3502010004,3502010004,2021-03-30 03:04:40,2021-03-30 03:04:40
3502,3502010,3502010005,1,4,KRAJAN,1,POSYANDU BALITA KRAJAN,balita,RT 01 RW 04 KRAJAN,,3502010005,3502010005,2020-12-28 14:32:07,2020-12-28 14:32:07
3502,3502010,3502010005,1,1,BLUMBANG,2,POSYANDU BALITA BLUMBANG,balita,DUKUH BLUMBANG,,3502010005,3502010005,2020-12-28 14:35:33,2020-12-28 14:35:33
3502,3502010,3502010005,1,5,PETUNG,3,POSYANDU BALITA PETUNG I,balita,DUKUH PETUNG,,3502010005,3502010005,2020-12-28 14:36:37,2020-12-28 14:36:37
3502,3502010,3502010005,1,2,PETUNG,4,POSYANDU BALITA PETUNG II,balita,DUKUH PETUNG,,3502010005,3502010005,2020-12-28 14:37:51,2020-12-28 14:37:51
3502,3502010,3502010005,1,1,KRAJAN,5,POSYANDU LANSIA KRAJAN - BLUMBANG,balita,KRAJAN,,3502010005,3502010005,2020-12-28 14:38:53,2020-12-28 14:38:53
3502,3502010,3502010005,1,4,PETUNG,6,POSYANDU LANSIA PETUNG I,balita,DUKUH PETUNG,,3502010005,3502010005,2020-12-28 14:39:56,2020-12-28 14:39:56
3502,3502010,3502010005,1,2,PETUNG,7,POSYANDU LANSIA PETUNG II,balita,DUKUH PETUNG,,3502010005,3502010005,2020-12-28 14:40:37,2020-12-28 14:40:37
3502,3502010,3502010009,2,1,DUKUH KRAJAN,1,POSYANDU BALITA KRAJAN,balita,,,3502010009,3502010009,2020-10-14 16:25:47,2020-10-14 16:25:47
3502,3502010,3502010009,3,1,DUKUH PUTUK,2,POSYANDU BALITA PUTUK I,balita,,,3502010009,3502010009,2020-10-14 16:27:05,2020-10-14 16:27:55
3502,3502010,3502010009,2,4,DUKUH PUTUK,3,POSYANDU BALITA PUTUK II,balita,,,3502010009,3502010009,2020-10-14 16:27:40,2020-10-14 16:27:40
3502,3502010,3502010009,3,2,DUKUH GAMPING,4,POSYANDU BALITA GAMPING,balita,,,3502010009,3502010009,2020-10-14 16:28:39,2020-10-14 16:28:39
