kd_desa,kd_kecamatan,kd_kabupaten,id_date,jenis,komoditas,luas_lahan_produksi,lahan_milik,hasil_produksi,satuan,created_by,updated_by,created_at,updated_at
3502010003,3502010,3502,1626559841,pertanian-pangan,37,20.00,perorangan,200.00,1,3502010003,3502010003,2021-07-17 22:14:21,2021-07-17 22:14:21
3502010003,3502010,3502,1626560183,peternakan,151,5.00,perorangan,500.00,9,3502010003,3502010003,2021-07-17 22:18:58,2021-07-17 22:18:58
3502010003,3502010,3502,1626560369,peternakan,138,5.00,perorangan,1000.00,9,3502010003,3502010003,2021-07-17 22:20:03,2021-07-17 22:20:03
3502010003,3502010,3502,1626560408,peternakan,156,1.00,perorangan,10.00,9,3502010003,3502010003,2021-07-17 22:21:01,2021-07-17 22:21:01
3502010003,3502010,3502,1626560471,kehutanan,122,10.00,perorangan,1000.00,2,3502010003,3502010003,2021-07-17 22:22:12,2021-07-17 22:22:12
3502010003,3502010,3502,1626560542,kehutanan,127,5.00,perorangan,5000.00,2,3502010003,3502010003,2021-07-17 22:22:51,2021-07-17 22:22:51
3502010003,3502010,3502,1626560581,perkebunan,102,5.00,perorangan,1000.00,5,3502010003,3502010003,2021-07-17 22:23:42,2021-07-17 22:23:42
3502010003,3502010,3502,1626560628,pertanian-apotik,79,5.00,perorangan,2000.00,4,3502010003,3502010003,2021-07-17 22:24:20,2021-07-17 22:24:20
3502010003,3502010,3502,1626560667,pertanian-apotik,83,10.00,perorangan,10000.00,4,3502010003,3502010003,2021-07-17 22:24:53,2021-07-17 22:24:53
3502010003,3502010,3502,1626560698,pertanian-apotik,4,3.00,perorangan,500.00,4,3502010003,3502010003,2021-07-17 22:25:16,2021-07-17 22:25:16
3502010003,3502010,3502,1626560721,pertanian-apotik,82,3.00,perorangan,1000.00,4,3502010003,3502010003,2021-07-17 22:25:54,2021-07-17 22:25:54
3502010003,3502010,3502,1626560762,pertanian-apotik,89,3.00,perorangan,1000.00,4,3502010003,3502010003,2021-07-17 22:26:19,2021-07-17 22:26:19
3502010003,3502010,3502,1626560794,pertanian-pangan,2,2.00,perorangan,1000.00,1,3502010003,3502010003,2021-07-17 22:27:25,2021-07-17 22:27:25
3502010003,3502010,3502,1626560850,pertanian-pangan,15,1.00,perorangan,500.00,1,3502010003,3502010003,2021-07-17 22:28:00,2021-07-17 22:28:00
3502010003,3502010,3502,1626560884,pertanian-pangan,14,2.00,perorangan,200.00,1,3502010003,3502010003,2021-07-17 22:28:21,2021-07-17 22:28:21
3502010003,3502010,3502,1626560904,pertanian-pangan,21,2.00,perorangan,200.00,1,3502010003,3502010003,2021-07-17 22:28:38,2021-07-17 22:28:38
3502010003,3502010,3502,1626560922,pertanian-pangan,28,7.00,perorangan,5000.00,1,3502010003,3502010003,2021-07-17 22:29:12,2021-07-17 22:29:12
